Name,Class,Label
Muribaculum,Bacteroidetes,Muribaculum
Bacteroides,Bacteroidetes,Bacteroides
Parabacteroides,Bacteroidetes,Parabacteroides
Lachnoclostridium,Firmicutes,Lachnoclostridium
Lactobacillus,Firmicutes,Lactobacillus
Butyrivibrio,Firmicutes,Butyrivibrio
Oscillibacter,Firmicutes,Oscillibacter
Absiella,Firmicutes,Absiella
Anaerostipes,Firmicutes,Anaerostipes
Acetivibrio,Firmicutes,Acetivibrio
Anaerotignum,Firmicutes,Anaerotignum
Streptococcus,Firmicutes,Streptococcus
Kineothrix,Firmicutes,Kineothrix
Eisenbergiella,Firmicutes,Eisenbergiella
Flavonifractor,Firmicutes,Flavonifractor
Anaerotruncus,Firmicutes,Anaerotruncus
Marvinbryantia,Firmicutes,Marvinbryantia
Akkermansia,Verrucomicrobia,Akkermansia
Eggerthella,Actinobacteria,Eggerthella
Prevotella,Bacteroidetes,Prevotella
Alloprevotella,Bacteroidetes,Alloprevotella
Alistipes,Bacteroidetes,Alistipes
Butyricimonas,Bacteroidetes,Butyricimonas
Mucispirillum,Deferribacteres,Mucispirillum
Ihubacter,Firmicutes,Ihubacter
Staphylococcus,Firmicutes,Staphylococcus
Faecalibacterium,Firmicutes,Faecalibacterium
Aerococcus,Firmicutes,Aerococcus
Blautia,Firmicutes,Blautia
Ruminococcus,Firmicutes,Ruminococcus
Roseburia,Firmicutes,Roseburia
Erysipelatoclostridium,Firmicutes,Erysipelatoclostridium
Desulfovibrio,Proteobacteria,Desulfovibrio
